Country,Year,Count,,
LVA,2010,376,,
UZB,1997,119,,
GBR,2015,255,,
ISR,2012,117,,
FRA,1996,255,,
TUR,2011,56,,
MKD,1992,597,,
ISR,2010,118,,
KAZ,1987,791,,
SVN,2004,360,,
SWE,1983,338,,
ITA,2010,200,,
SWE,1991,289,,
HUN,2008,445,,
GBR,1999,268,,
HUN,2003,568,,
UZB,1995,135,,
FIN,1989,199,,
MDA,2013,383,,
NLD,1998,121,,
LVA,1991,1121,,
LTU,2002,423,,
UZB,2002,105,,
RUS,1992,2057,,
ISR,1985,185,,
NOR,1985,286,,
ROU,1998,1144,,
NOR,2001,245,,
FRA,1991,263,,
HRV,2012,85,,
HRV,1981,771,,
ROU,2005,739,,
FIN,1982,210,,
GEO,2007,419,,
UKR,1999,1032,,
KGZ,2010,96,,
MKD,2015,199,,
LTU,1991,728,,
SRB,2004,379,,
HRV,2005,107,,
ROU,1999,1108,,
SWE,1994,288,,
TJK,1991,103,,
LTU,2004,358,,
GRC,1984,58,,
KGZ,1989,663,,
SVN,2002,419,,
UKR,1990,1551,,
ROU,2015,378,,
MLT,1999,0,,
POL,1985,199,,
TJK,1999,66,,
LTU,1989,898,,
SWE,1998,348,,
UKR,1991,1361,,
ITA,1992,260,,
SVK,2006,222,,
LTU,2014,172,,
LTU,2007,320,,
NLD,1992,99,,
FIN,2013,174,,
LVA,2015,218,,
UZB,2008,62,,
FRA,1994,266,,
MLT,1995,0,,
HRV,2000,172,,
EST,1982,1568,,
SVK,1992,654,,
ITA,2008,206,,
SWE,1989,327,,
FIN,2005,190,,
UZB,2001,103,,
FIN,1990,186,,
FIN,1987,217,,
KAZ,2001,620,,
NOR,1998,240,,
MKD,2003,248,,
TUR,2007,27,,
NOR,1987,285,,
SRB,2015,257,,
EST,1997,1321,,
HRV,1991,643,,
GEO,1993,733,,
HRV,1999,178,,
GRC,1973,53,,
SVN,1992,664,,
SWE,2005,345,,
KAZ,1999,652,,
TKM,2006,154,,
UKR,1994,1320,,
SWE,1985,313,,
GBR,2009,256,,
KAZ,2012,251,,
FIN,1984,210,,
NLD,2011,154,,
GBR,1985,203,,
HRV,2002,154,,
EST,2000,975,,
SVN,2007,261,,
TKM,2009,93,,
UKR,1981,1518,,
MNE,2014,125,,
SVN,1991,650,,
GEO,2013,531,,
ROU,1995,2125,,
MLT,1998,0,,
MDA,1995,1014,,
MKD,2002,284,,
RUS,1994,1994,,
POL,2011,2,,
HRV,1982,772,,
ISL,1990,152,,
KAZ,2004,474,,
KAZ,1998,671,,
GEO,1990,613,,
ITA,1997,260,,
SVN,1986,703,,
ISR,1989,151,,
SWE,1990,302,,
NOR,2013,250,,
KAZ,1997,675,,
HUN,1992,715,,
GRC,1999,113,,
MDA,1991,985,,
SVN,2013,193,,
ISR,2001,149,,
RUS,1998,1722,,
GBR,1996,248,,
SVN,2005,323,,
ITA,2000,248,,
FIN,1978,265,,
ISL,1981,137,,
MKD,1995,492,,
SVK,2005,225,,
RUS,2008,721,,
MLT,2005,0,,
FIN,2003,190,,
SWE,1978,342,,
UKR,2000,898,,
ISR,1996,148,,
UZB,2006,81,,
KAZ,2013,218,,
SRB,2002,394,,
GRC,1998,117,,
PRT,2014,204,,
FRA,1992,258,,
NOR,1997,234,,
GRC,1991,108,,
KGZ,2007,108,,
SVN,1980,610,,
TUR,2008,44,,
NOR,1993,250,,
ITA,2013,195,,
SWE,1972,215,,
GRC,2002,156,,
KAZ,2000,617,,
SWE,2012,330,,
EST,1988,1225,,
ISL,1996,201,,
NLD,2010,151,,
SWE,1986,325,,
FIN,1973,411,,
EST,1998,1298,,
SWE,2008,348,,
ISR,1981,156,,
GRC,2003,151,,
FIN,2004,193,,
FRA,2005,267,,
MDA,1990,1063,,
TJK,2001,65,,
ESP,2007,228,,
MNE,2010,115,,
KAZ,2010,288,,
ROU,1990,3153,,
SVN,1997,535,,
GEO,1997,433,,
UZB,1981,291,,
MDA,1984,977,,
FRA,2009,265,,
NLD,2009,153,,
ISL,1980,116,,
POL,2001,0,,
LVA,2009,403,,
KAZ,1995,807,,
LTU,1994,716,,
ROU,2011,527,,
ISL,1991,150,,
KGZ,1995,230,,
EST,2005,670,,
UKR,1985,1489,,
KAZ,2002,548,,
HRV,1993,519,,
ROU,2000,1100,,
GBR,1987,217,,
ITA,1985,358,,
GBR,2001,282,,
MDA,1983,1034,,
GRC,2012,176,,
KGZ,1990,416,,
SVN,1993,614,,
GBR,2008,263,,
MDA,1980,1189,,
KGZ,2006,97,,
KGZ,1988,506,,
HRV,1984,751,,
RUS,2009,659,,
UZB,1998,112,,
SVN,2000,464,,
GEO,2008,390,,
POL,2015,3,,
FIN,1972,378,,
SVK,1989,697,,
HRV,2004,130,,
ESP,2012,250,,
ITA,2003,228,,
MDA,1994,947,,
SWE,1995,304,,
TKM,1997,320,,
HRV,1986,831,,
UKR,2012,169,,
TKM,2010,106,,
MKD,1987,834,,
MNE,1993,620,,
FRA,2008,263,,
LTU,2001,439,,
GRC,1996,125,,
SWE,1973,237,,
GBR,1983,191,,
FIN,1991,179,,
GRC,1975,44,,
SVN,1985,695,,
TKM,1994,238,,
ISR,2005,136,,
GRC,1987,82,,
GRC,2007,145,,
TUR,2003,25,,
MDA,2003,481,,
MLT,2010,0,,
GEO,2014,456,,
MLT,1990,0,,
KGZ,1994,261,,
FIN,2012,172,,
MKD,1985,768,,
GRC,1981,61,,
KAZ,1983,907,,
LVA,1992,1087,,
ISL,1985,183,,
SVK,2001,311,,
ISR,2000,142,,
ISR,2002,142,,
ISR,1987,154,,
HRV,2010,93,,
UZB,2005,85,,
MKD,2014,201,,
UKR,2005,446,,
TKM,2007,124,,
FIN,1999,188,,
TKM,1986,278,,
FRA,2012,262,,
SRB,2011,322,,
POL,2009,1,,
ISL,2004,210,,
SVN,1981,664,,
MNE,1996,393,,
NOR,2008,265,,
UKR,1989,1532,,
MKD,2012,229,,
TUR,2004,26,,
NOR,1986,295,,
MNE,2003,237,,
ROU,2004,883,,
TUR,2013,39,,
MDA,2015,364,,
LVA,2002,730,,
MNE,2015,133,,
GRC,1971,61,,
FRA,2002,272,,
NLD,2007,156,,
ISR,2014,111,,
GRC,1986,65,,
KGZ,1998,187,,
TKM,2000,217,,
FRA,1999,264,,
LTU,2005,338,,
EST,2013,429,,
TUR,2006,27,,
GRC,1992,115,,
FIN,1975,328,,
ITA,2002,245,,
ITA,1984,382,,
UKR,1984,1424,,
RUS,1993,2160,,
ISR,2009,123,,
SRB,2007,356,,
TJK,2002,63,,
TUR,2002,27,,
NLD,2006,154,,
POL,2014,3,,
HRV,1985,823,,
MNE,1997,355,,
ITA,2012,196,,
SVN,2012,189,,
LTU,2009,249,,
ISR,1991,149,,
UKR,1987,1535,,
ROU,1988,488,,
GRC,2004,153,,
NOR,2003,246,,
ISL,1999,228,,
SVN,1987,657,,
LTU,1999,518,,
